2026-03-17 16:32:40 | INFO     | analysis_service:195 | [241f2118-8dea-4e97-8df5-5ba7f77c93c3] [65%] Generating embeddings and building vector index ...
2026-03-17 16:32:40 | INFO     | rag_service:195 | [241f2118-8dea-4e97-8df5-5ba7f77c93c3] Building FAISS index for 'Student_Performance_Project_Report.pdf' (2 chunks)
2026-03-17 16:32:40 | INFO     | rag_service:195 | [241f2118-8dea-4e97-8df5-5ba7f77c93c3] Generating embeddings ...
2026-03-17 16:32:40 | INFO     | embedding_service:195 | [241f2118-8dea-4e97-8df5-5ba7f77c93c3] Embedding 2 chunks (batch_size=64)
2026-03-17 16:32:40 | INFO     | embedding_service:195 | [241f2118-8dea-4e97-8df5-5ba7f77c93c3] Embeddings generated ✓ — shape=(2, 384), dtype=float32
2026-03-17 16:32:40 | INFO     | rag_service:195 | [241f2118-8dea-4e97-8df5-5ba7f77c93c3] FAISS index built — 2 vectors, dim=384
2026-03-17 16:32:40 | INFO     | rag_service:195 | [241f2118-8dea-4e97-8df5-5ba7f77c93c3] Index persisted → C:\Users\ADMIN\PycharmProjects\pdf_analyzer\data\vectorstore\241f2118-8dea-4e97-8df5-5ba7f77c93c3
2026-03-17 16:32:40 | INFO     | rag_service:195 | [241f2118-8dea-4e97-8df5-5ba7f77c93c3] FAISS index ready ✓
2026-03-17 16:32:40 | INFO     | analysis_service:195 | [241f2118-8dea-4e97-8df5-5ba7f77c93c3] [100%] Document ready for chat ✓
2026-03-17 16:32:40 | INFO     | analysis_service:195 | [241f2118-8dea-4e97-8df5-5ba7f77c93c3] Pipeline complete — 2 pages, 2 sections, 2 chunks
2026-03-17 16:32:40 | INFO     | pdf_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] Saved 'Student_Performance_Project_Report.pdf' → C:\Users\ADMIN\PycharmProjects\pdf_analyzer\data\uploads\98679dc1-cb71-4e2d-acb4-fbce75a190d3_Student_Performance_Project_Report.pdf (466,371 bytes)
2026-03-17 16:32:40 | INFO     | pdf_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] Document state created — status=uploaded
2026-03-17 16:32:40 | INFO     | analysis_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] [5%] Loading document ...
2026-03-17 16:32:40 | INFO     | analysis_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] [20%] Extracting text and detecting sections ...
2026-03-17 16:32:40 | INFO     | extraction_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] Starting extraction for 'Student_Performance_Project_Report.pdf'
2026-03-17 16:32:40 | INFO     | extraction_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] Extracted 2 pages, 283 words
2026-03-17 16:32:40 | INFO     | extraction_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] Detected 2 sections: ['results', 'results']
